level_0,Date,1_Day_returns,5_Day_returns,10_Day_returns
AMD,2016-01-19,-0.516147314275921,-1.4216749034610265,0.13103445359922006
AMD,2016-01-20,0.9519261041835212,-4.599988335873881,9.653862753814085
AMD,2016-01-21,-3.0944429440272287,-3.7503945962763696,-2.846064547529073
AMD,2016-01-22,-1.2078863194981764,0.8839713692356728,-0.6344917320222558
AMD,2016-01-25,-2.4780763323223165,-1.6078099922346465,-1.8062234769866545
AMD,2016-01-27,-0.4144904136701776,-1.7355101823768386,-0.6898538148516445
AMD,2016-01-28,-1.8098597289157543,-0.6948347195942417,-2.0985914499744123
AMD,2016-01-29,-3.4576856937183496,-0.6419093936115214,-1.9848904687881999
AMD,2016-02-01,-1.472726305917973,-0.18571433680397964,0.5340908758403844
AMD,2016-02-02,1.5700974727188868,-2.415890018185441,-0.13940789904159356
AMD,2016-02-03,-1.5735334521171724,0.38692911082535475,-2.020100483246903
AMD,2016-02-04,-0.7596618268461415,-1.4115922756598087,-1.1256036722145697
AMD,2016-02-05,-6.447368469084615,-1.9122788932200083,-1.326678502068563
AMD,2016-02-08,-0.5202009005994066,-0.07407185534311855,-0.24602998665621068
AMD,2016-02-09,-0.3844574034601601,-0.7782386775516069,-1.3139896428742828
AMD,2016-02-10,1.0315789176486545,-1.785526329411033,-2.089469333579949
AMD,2016-02-11,-1.3442028879875236,0.12499994331081776,-1.4630412867844553
AMD,2016-02-12,-2.483870983247813,-0.6935484020388145,-1.2795693246135333
AMD,2016-02-16,-1.0,-1.0,-1.0
AMD,2016-02-18,-0.8624060100842992,-1.1666666666666667,-0.8690789450981612
AMD,2016-02-19,-1.0,-1.0,-1.0
AMD,2016-02-24,-2.2753806860863595,-0.3364757011101046,-2.632825651030968
AMD,2016-02-25,-0.8049504903750926,-0.059405943515586035,-1.1567656760807357
AMD,2016-02-29,0.7161894513306022,-0.3541048407154408,-3.0966255822751543
AMD,2016-03-02,2.435779879725476,1.530275188621356,0.678899070528483
AMD,2016-03-03,-0.06034317154845181,11.189676166947784,10.465536953100798
AMD,2016-03-07,-2.153304971991266,0.24773834725092403,-0.19409184145691183
AMD,2016-03-08,-2.631172390050141,-4.682191536802082,2.4585068182449867
AMD,2016-03-09,-0.7473149242211639,-1.2708074673233625,-1.6852174154616928
AMD,2016-03-10,-1.0,-1.0,-1.0
AMD,2016-03-14,-0.31013411804298985,0.8809500620962207,1.346933521741461
AMD,2016-03-15,-2.065440991533814,0.22858951721453757,-5.5239019224911265
AMD,2016-03-16,-1.664920999314195,-4.232937153155191,-0.12449647753844084
AMD,2016-03-18,-0.28172132827449614,-0.5964281961859685,-2.2690466259314346
AMD,2016-03-21,-1.9556313612699694,-1.5590447104804253,-2.051535182892719
AMD,2016-03-22,-0.9195056389266119,-0.9577640177737137,-0.948109314987525
AMD,2016-03-23,10.039426486236588,-1.7012276967368893,1.2670250736021313
AMD,2016-03-29,-0.29888813751778087,-0.38018929807028123,-0.7498618769989824
AMD,2016-03-30,-1.0,-1.0,-1.0
AMD,2016-04-01,1.0070175374020311,-0.8220095658556487,-1.1248118221762424
AMD,2016-04-04,-1.0,-1.0,-1.0
AMD,2016-04-07,-4.942857196379702,15.34285682172209,15.000000000000124
AMD,2016-04-08,-1.6628787502495956,-6.397726877620784,-1.9607437503403573
AMD,2016-04-12,1.4818840751851292,-1.7324016391005905,-0.3704710187962781
AMD,2016-04-14,7.028571401810055,-0.5,7.171428410861045
AMD,2016-04-15,-0.7426470659131836,-1.1941176527305444,0.047794071564316365
AMD,2016-04-19,-3.28261263111492,-3.8000047683761147,1.0507280818481357
AMD,2016-04-20,-1.6019637156392248,-9.580178442688114,1.1068765927240602
AMD,2016-04-21,-1.9703703108474866,0.03704009167572053,-0.48147995416213973
AMD,2016-04-22,-18.647867678502184,-72.11458192670528,12.804595718526016
AMD,2016-04-26,-0.8835925063963187,1.7391335551093992,7.339139816194525
AMD,2016-04-27,-0.6857927094807079,-1.3770485280724225,0.05573767651197836
AMD,2016-04-28,-2.682117505425764,-2.053618204864957,8.040232208206056
AMD,2016-04-29,-0.4833805101623254,-0.43905981727158216,-0.4182825414787261
AMD,2016-05-02,-4.22019178391134,-0.8976457099183619,-8.278882547560407
AMD,2016-05-03,-1.699409252448692,-1.614973618061399,-2.6844948727390094
AMD,2016-05-04,-1.0,-1.0,-1.0
AMD,2016-05-06,-0.6721324667451707,-1.3287795820070698,-1.1844256788084186
AMD,2016-05-09,-2.4918478340093837,-1.1523167376969068,-1.015590271554518
AMD,2016-05-10,-0.6639269433236634,-0.926810302492356,-1.0450097330810952
AMD,2016-05-12,-6.983585436502242,-1.9863013179647995,-0.48904009144491045
AMD,2016-05-13,-2.355616177045185,3.0780067754829323,-2.340765363065277
AMD,2016-05-16,0.467298013839331,-5.010899171940484,-0.389072922898801
AMD,2016-05-17,-1.0,-1.0,-1.0
AMD,2016-05-19,-2.381770850310561,0.10893661946104993,-2.0937456493138633
AMD,2016-05-20,-2.4550966023482115,0.19031473253324904,3.8541115442277443
AMD,2016-05-23,0.6560747145960588,0.3434558708367039,-6.3884660398775175
AMD,2016-05-25,-1.1202380995631496,-1.3609523937112875,-2.733333462003631
AMD,2016-05-26,-9.540681797321993,-3.231035296465345,-3.4740767395605614
AMD,2016-05-27,0.41311630968439395,1.1666687695022722,1.5790177568582409
AMD,2016-05-31,-1.1134772506688637,-1.1484640837193014,-1.1994549448810876
AMD,2016-06-02,0.40002934283656777,8.006783251034452,-4.251019974099618
